bar_sequence,is_winner,avg_candle_range,avg_vol_delta,avg_vol_roc,avg_sma_spread,avg_cvd_slope,trade_count
0,False,0.40690878388998036,11728.32029469548,588.8197365422396,0.22854744793713164,0.01924773673870334,509
0,True,0.38362070826580225,54018.19453808752,320.3532348460292,0.25660263371150727,0.06415415235008104,617
1,False,0.3626015500982318,-27131.416620825148,29.047078388998035,0.22869433595284872,0.01140928094302554,509
1,True,0.3286859286871961,66871.37680713128,22.77092220421394,0.2472107358184765,0.07457169367909239,617
2,False,0.34345146365422397,-47040.39196463654,33.18025540275049,0.2229649764243615,0.0017606129666011788,509
2,True,0.2975729448946515,76381.31849270665,12.545551539708265,0.2379191734197731,0.08543543111831442,617
3,False,0.3256622043222004,-63224.08349705305,15.551742632612967,0.21490734184675836,-0.011456646365422396,509
3,True,0.32229191896272286,81402.41301458671,17.948562398703405,0.23396906482982172,0.09712420259319286,617
4,False,0.31473983104125736,-66556.78298624755,6.568743614931238,0.2126163673870334,-0.02349462278978389,509
4,True,0.315767152350081,82937.54828200972,3.278396758508914,0.23244452350081038,0.10506632901134522,617
5,False,0.30020921807465617,-88897.37717092338,3.564354616895874,0.21662300982318272,-0.03535984086444008,509
5,True,0.2938176304700162,43300.42025931929,-1.5772414910858994,0.23211839384116695,0.10921120421393841,617
6,False,0.30080680353634576,-55215.66724950884,0.9908842829076621,0.2197356561886051,-0.04598884086444008,509
6,True,0.2898192998379254,18140.43205834684,-3.8374413290113454,0.23744503889789303,0.1092715056726094,617
7,False,0.3046650373280943,-38010.52954813359,-5.819889980353635,0.22916782514734774,-0.054884628683693516,509
7,True,0.3010026531604538,15930.305980551053,-2.1436259319286872,0.24574373095623986,0.11020590923824959,617
8,False,0.2960426974459725,-22273.84459724951,-3.1297110019646364,0.23656421021611002,-0.06176456581532416,509
8,True,0.285811319286872,15353.24468395462,-3.8747160453808753,0.2549013484602917,0.11054955915721232,617
9,False,0.2942078565815324,-14183.416836935166,-1.466232416502947,0.24420314931237722,-0.06777897249508841,509
9,True,0.288202755267423,7487.811636952998,-5.4436674230145865,0.26023660291734196,0.108036,617
10,False,0.28311471709233793,-4182.754656188605,-5.866921611001964,0.24856364636542239,-0.07126395481335952,509
10,True,0.27018223987034035,11913.809059967585,-10.025913776337115,0.2571706531604538,0.10272906320907617,617
11,False,0.29273302946954816,1082.9963457760314,-3.5910575638506876,0.24855426719056975,-0.07155335166994106,509
11,True,0.2746089286871961,14869.68623987034,-3.660534035656402,0.2562100453808752,0.09614787520259319,617
12,False,0.3001165068762279,-2615.430432220039,-0.6791585461689588,0.2477088094302554,-0.06776875049115913,509
12,True,0.2734433808752026,5003.308200972448,-7.463959481361426,0.25113217990275527,0.08522941815235008,617
13,False,0.28827203339882124,-4682.522829076621,-5.9833121807465615,0.2461024656188605,-0.06140558546168959,509
13,True,0.28334721393841167,-3149.4633873581847,-2.818782333873582,0.2450792609400324,0.0695629773095624,617
14,False,0.28404803536345774,-3803.0577013752454,-5.4172611001964635,0.2428018231827112,-0.05301887229862475,509
14,True,0.28146374878444086,-356.5894489465154,-5.044873743922204,0.24195918314424636,0.05088760291734198,617
15,False,0.28894235756385067,4087.1332220039294,-7.3915557956777995,0.242825952848723,-0.03797949901768173,509
15,True,0.2678989335494327,-3991.046531604538,-5.44137017828201,0.2388708978930308,0.03731223987034036,617
16,False,0.2932785304518664,8611.216149312377,-3.118095677799607,0.2407485618860511,-0.026409100196463656,509
16,True,0.2525965834683955,-1897.8258022690438,-4.328754294975689,0.23407155753646677,0.027109215559157213,617
17,False,0.27212449508840864,8733.983909626719,-2.364133202357564,0.23838432416502947,-0.01623985068762279,509
17,True,0.2425234602917342,445.7275202593193,-8.69528606158833,0.23008600162074555,0.020196779578606158,617
18,False,0.2951556385068762,16304.592848722987,-4.364196660117878,0.23583495481335953,-0.007203159135559922,509
18,True,0.24593306969205836,6538.977228525122,-6.705292058346839,0.22740575364667748,0.015331683954619126,617
19,False,0.27696741257367385,29296.74489194499,-6.076840864440078,0.23085427308447937,-7.183497053045187e-05,509
19,True,0.2343586564019449,6876.122868719611,-7.679316855753647,0.2274341847649919,0.012115183144246353,617
20,False,0.27695349901768174,28748.758271119845,-3.4298471512770137,0.22189893320235757,0.00662611394891945,509
20,True,0.24853229335494328,13568.73358184765,-4.147073905996758,0.2254691199351702,0.010035719611021069,617
21,False,0.26910698428290764,21202.451434184677,-9.75765166994106,0.20900200589390963,0.011153632612966601,509
21,True,0.24569020583468396,3911.7152188006485,-8.188343111831443,0.22331872771474878,0.005536512155591572,617
22,False,0.25857088015717095,24114.1647151277,-7.391163654223969,0.19707506679764245,0.01623576227897839,509
22,True,0.25259515072933547,1677.6242463533226,-6.300998379254457,0.22373166936790922,0.0019312771474878443,617
23,False,0.2522161571709234,16989.2131237721,-8.065609233791749,0.19252849508840864,0.020432616895874264,509
23,True,0.23408574230145868,6097.520664505672,-3.869421393841167,0.2238411247974068,0.00039148136142625606,617
24,False,0.2564993064833006,6488.4225343811395,-8.979423379174852,0.1897664557956778,0.023057363457760313,509
24,True,0.22768032252836304,9593.9771636953,-5.937421069692058,0.22516264019448948,-0.0011384570502431118,617
