Time,Symbol,Side,Price,Qty,Route,Account,Type,Cloid,
09:28:44,MU,SS,404.05,10,SMAT,TRIB13971,Short,AUTO,
10:03:56,MU,SS,400.46,40,SMAT,TRIB13971,Short,AUTO,
09:32:59,MU,B,402,3,SMAT,TRIB13971,Margin,AUTO,
10:03:40,MU,SS,400.9,20,SMAT,TRIB13971,Short,AUTO,
09:22:29,PLTR,SS,128.56,20,SMAT,TRIB13971,Short,AUTO,
09:43:53,MU,B,397.99,12,SMAT,TRIB13971,Margin,AUTO,
09:31:00,MU,B,399.39,5,SMAT,TRIB13971,Margin,AUTO,
10:06:13,MU,B,400.7,80,SMAT,TRIB13971,Margin,AUTO,
09:52:05,MU,SS,396.08,20,SMAT,TRIB13971,Short,AUTO,
09:41:23,MU,SS,394.12,10,SMAT,TRIB13971,Short,AUTO,
09:31:44,PLTR,B,128.42,20,SMAT,TRIB13971,Margin,AUTO,
